"Country","Happiness_Score2017","Annual_Gross2017"
"Switzerland",7.494,75684
"Iceland",7.504,70380
"Denmark",7.522,66372
"Norway",7.537,57012
"Finland",7.469,40740
"Netherlands",7.377,36648
"Sweden",7.284,41988
"Austria",7.006,49968
"Luxembourg",6.863,60084
"Ireland",6.977,46404
"Belgium",6.891,42696
"Germany",6.951,45252
"Czech Republic",6.609,13512
"Spain",6.403,26916
"Malta",6.527,17676
"Slovakia",6.098,11448
"Italy",5.964,29952
"Moldova",5.838,3288
"Lithuania",5.902,10080
"Belarus",5.569,4284
"Poland",5.973,12036
"Croatia",5.293,12960
"Russia",5.963,6204
"Cyprus",5.621,22704
"Kosovo",5.279,6336
"Estonia",5.611,14652
"Montenegro",5.237,9180
"Romania",5.825,8472
"Serbia",5.395,6528
"Portugal",5.195,13596
"Latvia",5.85,11112
"Macedonia",5.175,6588
"Albania",4.644,4380
"Bosnia and Herzegovina",5.182,8100
"Greece",5.227,18552
"Hungary",5.324,11532
"Ukraine",4.096,2844
"Bulgaria",4.714,6360
