"Country","Happiness_Score2015","Annual_Gross2015"
"Switzerland",7.587,72036
"Iceland",7.561,50196
"Denmark",7.527,63972
"Norway",7.522,57096
"Finland",7.406,39996
"Netherlands",7.378,34884
"Sweden",7.364,41040
"Austria",7.2,47676
"Luxembourg",6.946,57732
"Ireland",6.94,45060
"Belgium",6.937,41340
"Germany",6.75,43344
"Czech Republic",6.505,11700
"Spain",6.329,26448
"Malta",6.302,16824
"Slovakia",5.995,10596
"Italy",5.948,28512
"Moldova",5.889,3876
"Lithuania",5.833,8568
"Belarus",5.813,4080
"Poland",5.791,11184
"Croatia",5.759,12696
"Russia",5.716,5916
"Cyprus",5.689,22584
"Kosovo",5.589,6120
"Estonia",5.429,12780
"Montenegro",5.192,8700
"Romania",5.124,6900
"Serbia",5.123,6072
"Portugal",5.102,13164
"Latvia",5.098,9816
"Macedonia",5.007,6300
"Albania",4.959,4116
"Bosnia and Herzegovina",4.949,7908
"Greece",4.857,17664
"Hungary",4.8,9600
"Ukraine",4.681,2076
"Bulgaria",4.218,5388
